KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.13,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.12,0.27,0.2,0.21
0.12,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.12,0.27,0.2,0.21
0.12,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.12,0.27,0.2,0.21
0.10,0.27,0.2,0.21
0.09,0.27,0.2,0.21
0.10,0.27,0.2,0.21
0.10,0.27,0.2,0.21
0.11,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.16,0.27,0.2,0.21
0.18,0.27,0.2,0.21
0.19,0.27,0.2,0.21
0.18,0.27,0.2,0.21
0.17,0.27,0.2,0.21
0.15,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.13,0.27,0.2,0.21
0.14,0.27,0.2,0.21
0.15,0.27,0.2,0.21
0.18,0.27,0.2,0.21
0.20,0.27,0.2,0.21
0.20,0.27,0.2,0.21
0.23,0.27,0.2,0.21
0.27,0.27,0.2,0.21
0.27,0.25,0.19,0.18
0.27,0.25,0.19,0.18
0.28,0.25,0.19,0.18
0.29,0.25,0.19,0.18
0.29,0.25,0.19,0.18
0.28,0.25,0.19,0.18
0.26,0.25,0.19,0.18
0.23,0.25,0.19,0.18
0.19,0.25,0.19,0.18
0.18,0.25,0.19,0.18
0.18,0.25,0.19,0.18
0.17,0.25,0.19,0.18
0.16,0.25,0.19,0.18
0.16,0.25,0.19,0.18
0.20,0.25,0.19,0.18
0.25,0.25,0.19,0.18
0.30,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.33,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.31,0.25,0.19,0.18
0.31,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.33,0.25,0.19,0.18
0.33,0.25,0.19,0.18
0.33,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.32,0.25,0.19,0.18
0.31,0.25,0.19,0.18
0.30,0.25,0.19,0.18
0.26,0.25,0.19,0.18
0.24,0.25,0.19,0.18
0.25,0.25,0.19,0.18
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.26,0.24,0.16,0.16
0.26,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.26,0.24,0.16,0.16
0.25,0.24,0.16,0.16
0.24,0.24,0.16,0.16
0.23,0.24,0.16,0.16
0.23,0.24,0.16,0.16
0.22,0.24,0.16,0.16
0.21,0.24,0.16,0.16
0.20,0.24,0.16,0.16
0.19,0.24,0.16,0.16
0.18,0.24,0.16,0.16
0.17,0.24,0.16,0.16
